               ,x center,20,60,100,140,180,220,260,300,340,380,420,460,500
               ,x low   ,0,40,80,120,160,200,240,280,320,360,400,440,480
               ,x high  ,40,80,120,160,200,240,280,320,360,400,440,480,520
132+124,value,8.3406,8.24977,8.50872,8.85523,9.54736,10.0134,11.1882,11.9632,14.3709,15.2369,16.8946,25.5489,82.9113
 ,error,0.571759,0.440136,0.43433,0.450771,0.520502,0.51502,0.712787,0.853685,1.37427,1.83476,2.95192,8.62208,106.856
108+112,value,8.05564,7.91383,8.35855,8.68497,9.48831,10.0244,11.2127,13.5941,14.4597,17.9088,28.0305,37.0372,
 ,error,0.528863,0.397751,0.424043,0.428827,0.473296,0.490289,0.630159,0.983307,1.4428,2.70826,7.07724,17.6288,
