,               ,x center,20,60,100,140,180,220,260,300,340,380,420,460,500,540,580,620,660,700,740,780
,               ,x low   ,0,40,80,120,160,200,240,280,320,360,400,440,480,520,560,600,640,680,720,760
,               ,x high  ,40,80,120,160,200,240,280,320,360,400,440,480,520,560,600,640,680,720,760,800
p,132+124,value,0.00184207,0.00520402,0.00866043,0.0113123,0.0132948,0.0146817,0.015687,0.0150311,0.0142799,0.0131162,0.0117056,0.0101391,0.00859875,0.00673443,0.00538947,0.00404467,0.00298926,0.00223446,0.00151997,0.00102556
, ,error,8.83E-05,0.000218204,0.000422694,0.000471862,0.000521731,0.000550241,0.000507204,0.000530544,0.000476613,0.000422564,0.000357879,0.000314338,0.000383743,0.000231488,0.00023105,0.000207764,0.00017895,0.00015275,0.000116822,8.75E-05
,108+112,value,0.00152181,0.00444103,0.00697344,0.00932419,0.011259,0.0125837,0.0135271,0.0135102,0.0128697,0.0120337,0.0105481,0.00898553,0.00731267,0.00575805,0.00435987,0.00303894,0.00218151,0.00142713,0.000931285,0.000554487
, ,error,7.91E-05,0.000212733,0.000312847,0.000382661,0.000460965,0.00047567,0.000503591,0.000451769,0.000445586,0.000373505,0.000312572,0.000265444,0.000212754,0.000225045,0.000179535,0.000131509,9.90E-05,6.77E-05,4.62E-05,2.86E-05
d,132+126,value,0.00188692,0.00610067,0.00942658,0.011616,0.0131313,0.0135711,0.0130356,0.0110566,0.00919605,0.00708808,0.00533783,0.00382983,0.00279806,0.00202034,0.00125173,0.000714852,0.000404326,0.000155186,7.88E-05,1.90E-05
, ,error,9.48E-05,0.000227136,0.000351782,0.000420295,0.000425409,0.000442614,0.000404299,0.000358895,0.000363245,0.000322603,0.000221912,0.00017813,0.00013781,0.000112414,6.51E-05,3.46E-05,1.81E-05,6.37E-06,2.94E-06,6.41E-07
,108+114,value,0.00207259,0.0063071,0.0100986,0.0132769,0.0154768,0.0163474,0.0153606,0.013803,0.0107475,0.00806961,0.00592067,0.00395161,0.00254235,0.00161446,0.000845875,0.000429337,0.000179963,6.66E-05,2.53E-05,6.48E-06
, ,error,0.000101763,0.000258119,0.000420717,0.000536693,0.000582025,0.000553923,0.000535596,0.000422201,0.000351149,0.000282705,0.000224252,0.000176559,0.000118538,0.000100482,5.38E-05,2.79E-05,1.20E-05,4.52E-06,1.75E-06,4.58E-07
t,132+128,value,0.00176889,0.00528371,0.00825466,0.00991723,0.0103757,0.00916577,0.00739801,0.00538002,0.00363986,0.00237867,0.00152153,0.00100325,0.000599636,0.000350362,0.000176026,8.04E-05,5.39E-05,1.34E-05,1.13E-05,3.59E-06
, ,error,7.91E-05,0.000209882,0.000316876,0.000314236,0.000314541,0.000303437,0.00024487,0.000203941,0.000221756,0.000140691,8.67E-05,6.68E-05,5.75E-05,4.03E-05,2.92E-05,1.74E-05,1.44E-05,4.25E-06,4.17E-06,1.50E-06
,108+116,value,0.0026659,0.00788478,0.0126438,0.0156568,0.0162799,0.0145725,0.0112116,0.00725993,0.00435695,0.00240515,0.00131346,0.000651609,0.000337489,0.000136524,5.05E-05,1.80E-05,7.86E-06,3.51E-06,1.00E-06,5.01E-07
, ,error,0.000119343,0.000322136,0.000412686,0.000523312,0.000514152,0.000418043,0.000330655,0.000249693,0.000162989,9.92E-05,9.26E-05,4.89E-05,2.80E-05,1.65E-05,9.46E-06,4.57E-06,2.51E-06,1.35E-06,4.53E-07,2.60E-07
he3,132+130,value,0.000526677,0.00167118,0.00267736,0.00342515,0.0040145,0.00412125,0.00398768,0.00324277,0.00234709,0.00167487,0.00109842,0.00065083,0.000397546,0.00026187,0.000144545,6.52E-05,4.02E-05,2.30E-05,1.39E-05,2.42E-05
, ,error,4.07E-05,0.000105,0.000156994,0.000192887,0.000207273,0.000184181,0.000178118,0.000145819,0.000115941,9.78E-05,5.57E-05,6.09E-05,3.48E-05,2.67E-05,2.72E-05,1.79E-05,1.45E-05,1.02E-05,7.37E-06,1.49E-05
,108+118,value,0.000482747,0.00147868,0.00233155,0.00310653,0.00384664,0.00397393,0.0037441,0.00300442,0.00219794,0.0014106,0.000843863,0.000489683,0.000249897,0.000107237,5.36E-05,2.73E-05,1.26E-05,6.64E-06,4.69E-06,2.36E-06
, ,error,3.76E-05,8.51E-05,0.000128047,0.000166826,0.000212015,0.000195623,0.000220519,0.000172307,0.000140566,9.17E-05,6.87E-05,4.07E-05,2.54E-05,1.40E-05,1.05E-05,7.13E-06,4.13E-06,2.60E-06,2.15E-06,1.23E-06
he4,132+132,value,0.00183245,0.00554552,0.00815936,0.00954314,0.00900488,0.00728976,0.00509543,0.00284137,0.00157078,0.000785544,0.000327979,0.000157755,4.91E-05,2.28E-05,7.23E-06,2.32E-06,0,0,0,0
, ,error,0.000101603,0.000202728,0.000285974,0.000320075,0.000287229,0.000194364,0.000167811,0.000101534,7.07E-05,5.88E-05,3.12E-05,2.14E-05,1.13E-05,6.82E-06,4.56E-06,2.23E-06,0,0,0,0
,108+120,value,0.00216897,0.00658016,0.00985716,0.0115827,0.0113799,0.00929223,0.00617014,0.00328432,0.00151581,0.000675907,0.000274484,8.89E-05,2.48E-05,3.78E-06,2.28E-06,1.68E-06,0,0,0,0
,,error,0.000124948,0.000286747,0.000387135,0.000388052,0.000397199,0.000293957,0.000202401,0.00014195,7.58E-05,5.07E-05,2.58E-05,1.29E-05,4.30E-06,2.22E-06,1.77E-06,1.61E-06,0,0,0,0
, ,,,,,,,,,,,,,,,,,,,,,
